100,1,0.005160,0.005192,0.005199,0.005201,0.005213,0.005186,0.005192,0.005173,0.005245,0.005167
1000,1,0.056423,0.062220,0.056616,0.056683,0.056329,0.057259,0.056370,0.056468,0.056642,0.056687
10000,1,1.004346,1.003392,1.002209,1.003590,1.035828,1.000961,1.002799,1.004627,1.002851,1.005278
100,2,0.005901,0.005947,0.005994,0.005900,0.005945,0.005911,0.005904,0.005922,0.005907,0.005908
1000,2,0.065741,0.064133,0.063640,0.066409,0.064281,0.064260,0.064276,0.064284,0.064559,0.064277
10000,2,1.075839,1.074918,1.074811,1.071259,1.076764,1.075617,1.076537,1.076944,1.075209,1.072971
100,4,0.006134,0.006232,0.005560,0.006166,0.006171,0.006127,0.006158,0.006130,0.006098,0.006135
1000,4,0.070100,0.072934,0.075088,0.066446,0.073552,0.075337,0.074303,0.071856,0.070846,0.066416
10000,4,1.082459,1.076114,1.075926,1.090489,1.089533,1.091633,1.071476,1.078912,1.080802,1.091938
100,8,0.006234,0.006236,0.006250,0.006312,0.006290,0.006207,0.005928,0.006246,0.006457,0.006255
1000,8,0.072560,0.075878,0.076873,0.076927,0.070456,0.077985,0.077234,0.074870,0.073840,0.070746
10000,8,0.078071,1.084584,1.113339,1.096011,1.074570,1.087375,1.103061,1.098507,1.110482,1.111068
